,season,Riversize,Waterspeed,mxPH,mnO2,CI,NO3,NH4,oPO4,PO4,Chia,a1,a2,a3,a4,a5,a6,a7
0,winter,small,medium,8.0,9.8,60.8,6.238,578.0,105.0,170.0,50.0,0.0,0.0,0.0,0.0,34.2,8.3,0.0
1,spring,small,medium,8.35,8.0,57.75,1.288,370.0,428.75,558.75,1.3,1.4,7.6,4.8,1.9,6.7,0.0,2.1
2,autumn,small,medium,8.1,11.4,40.02,5.33,346.667,125.667,187.057,15.6,3.3,53.6,1.9,0.0,0.0,0.0,9.7
3,spring,small,medium,8.07,4.8,77.364,2.302,98.182,61.182,138.7,1.4,3.1,41.0,18.9,0.0,1.4,0.0,1.4
4,autumn,small,medium,8.06,9.0,55.35,10.416,233.7,58.222,97.58,10.5,9.2,2.9,7.5,0.0,7.5,4.1,1.0
5,winter,small,high,8.25,13.1,65.75,9.248,430.0,18.25,56.667,28.4,15.1,14.6,1.4,0.0,22.5,12.6,2.9
6,summer,small,high,8.15,10.3,73.25,1.535,110.0,61.25,111.75,3.2,2.4,1.2,3.2,3.9,5.8,6.8,0.0
7,autumn,small,high,8.05,10.6,59.067,4.99,205.667,44.667,77.434,6.9,18.2,1.6,0.0,0.0,5.5,8.7,0.0
8,winter,small,medium,8.7,3.4,21.95,0.886,102.75,36.3,71.0,5.544,25.4,5.4,2.5,0.0,0.0,0.0,0.0
9,winter,small,high,7.93,9.9,8.0,1.39,5.8,27.25,46.6,0.8,17.0,0.0,0.0,2.9,0.0,0.0,1.7
10,spring,small,high,7.7,10.2,8.0,1.527,21.571,12.75,20.75,0.8,16.6,0.0,0.0,0.0,1.2,0.0,6.0
11,summer,small,high,7.45,11.7,8.69,1.588,18.429,10.667,19.0,0.6,32.1,0.0,0.0,0.0,0.0,0.0,1.5
12,winter,small,high,7.74,9.6,5.0,1.223,27.286,12.0,17.0,41.0,43.5,0.0,2.1,0.0,1.2,0.0,2.1
13,summer,small,high,7.72,11.8,6.3,1.47,8.0,16.0,15.0,0.5,31.1,1.0,3.4,0.0,1.9,0.0,4.1
14,winter,small,high,7.9,9.6,3.0,1.448,46.2,13.0,61.6,0.3,52.2,5.0,7.8,0.0,4.0,0.0,0.0
15,autumn,small,high,7.55,11.5,4.7,1.32,14.75,4.25,98.25,1.1,69.9,0.0,1.7,0.0,0.0,0.0,0.0
16,winter,small,high,7.78,12.0,7.0,1.42,34.333,18.667,50.0,1.1,46.2,0.0,0.0,1.2,0.0,0.0,0.0
17,spring,small,high,7.61,9.8,7.0,1.443,31.333,20.0,57.833,0.4,31.8,0.0,3.1,4.8,7.7,1.4,7.2
18,summer,small,high,7.35,10.4,7.0,1.718,49.0,41.5,61.5,0.8,50.6,0.0,9.9,4.3,3.6,8.2,2.2
19,spring,small,medium,7.79,3.2,64.0,2.822,8777.6,564.6,771.6,4.5,0.0,0.0,0.0,44.6,0.0,0.0,1.4
20,winter,small,medium,7.83,10.7,88.0,4.825,1729.0,467.5,586.0,16.0,0.0,0.0,0.0,6.8,6.1,0.0,0.0
21,spring,small,high,7.2,9.2,0.8,0.642,81.0,15.6,18.0,0.5,15.5,0.0,0.0,2.3,0.0,0.0,0.0
